text,label
"your otp is 1234 share now",1
"bank account blocked click link",1
"urgent kyc update call this number",1
"congratulations you won lottery",1
"call me urgently for refund",1
"your upi is blocked verify now",1
"hello sir your recharge is successful",0
"meeting at 5 pm tomorrow",0
"your order has been delivered",0
"otp is confidential do not share",0
"your payment is received thank you",0
"hi mom i reached safely",0
"parcel will arrive today",0
"your appointment is confirmed",0
"welcome to our service",0
"please share your bank details for cashback",1
"your sim will be blocked update kyc",1
"click this link to get free recharge",1
"i am from customer care share otp",1
"your pan is not linked update now",1
"your account will close in 2 hours",1
"thanks for your purchase",0
"your bill is generated",0
"good morning have a nice day",0
"your delivery partner is on the way",0
"salary credited successfully",0
"otp is 9845 for login",0
"confirm your address for delivery",0
"limited time offer claim now",1
"winner selected call now",1
"scan qr to receive money quickly",1
"upi collect request accepted",0
"recharge pack activated",0
"your internet is working fine",0
"your plan expires tomorrow",0
"urgent: verify account to avoid suspension",1
"refund initiated share otp to confirm",1
"your bank kyc pending",1
"claim cashback by sharing otp",1
"your subscription renewed",0
"your ticket is confirmed",0
"payment failed try again later",0
"hello how are you",0
"earn money fast click link",1
"loan approved instantly share details",1
"free gift claim now",1
"you have received ?500 reward click",1
"amazon refund customer care call",1
"your upi pin reset request",1
"your number is shortlisted for prize",1
"thank you for contacting support",0
"your data pack ends soon",0
"your verification is successful",0
"welcome back to upi",0
"security alert suspicious login",1
"verify your device now",1
"open this link for prize",1
"your balance is low recharge now",0
"your friend sent you money",0
"please confirm otp for delivery",1
"bank officer here share otp",1
"your kyc update required today",1
"good evening",0
"see you tomorrow",0
"your statement is ready",0
"click to update your account",1
"this is last warning",1
"your sim will be deactivated",1
"your upi is secured",0
"payment received successfully",0
"hello sir from jio support",1
"verify for free data offer",1
"limited deal click now",1
"thank you",0
"ok",0
"call me later",0
"your complaint registered",0
"your complaint resolved",0
"verify now to avoid blocking",1
"upi reward claim now",1
"your bank account hacked",1
"account temporarily locked",1
"click link to unlock",1
"your transaction completed",0
"cashback received",0
"share otp for refund",1
"otp for login is 123456",0
"please do not share otp",0
"urgent verify aadhar link",1
"congratulations selected for job",1
"your interview is scheduled",0
"your parcel delayed",0
"delivery rescheduled",0
"claim your free voucher",1
"credit card approved instantly",1
"share cvv for verification",1
"your account is safe",0
"hi bro what's up",0
"thank you for payment",0
"successful login",0
"account suspended click link",1
"update your details now",1
"refund waiting confirm otp",1
"winner call immediately",1
"your recharge failed",0
"your complaint is in progress",0
"welcome",0
"hello",0
"verify your bank number",1
"your sim kyc pending",1
"instant loan click now",1
"urgent: payment pending click",1
"your service is active",0
"your order shipped",0
"your order cancelled",0
"your otp is 0000",0
"claim bonus now",1
"free recharge offer click",1
"reward points expiring",0
"thank you for shopping",0
"your otp is needed for refund",1
"your account will be blocked",1
"your payment is pending",1
"confirm your otp now",1
"your number won prize",1
"your bank security alert",1
"your plan renewed",0
"your transaction failed",0
"otp sent to your number",0
"hi",0
"good night",0
"your ticket cancelled",0
"your order delivered",0
"update kyc today urgent",1
"link your pan now",1
"free gift voucher",1
"claim your reward by clicking",1
"share your otp urgently",1
"your payment credited",0
"your delivery is arriving",0
"scheduled maintenance tomorrow",0
"thank you for using service",0
"security check required",1
"urgent account update required",1
"your wallet credited",0
"your wallet debited",0
"otp is 456789",0
"this is customer care give otp",1
"call this number for refund",1
"we are from bank support",1
"congratulations you are selected",1
"your recharge is done",0
"your data is over",0
"your service will expire",0
"hello sir",0
"please verify your upi now",1
"refund approved confirm otp",1
"account login suspicious",1
"your password reset requested",0
"your otp should not be shared",0
"thanks",0
"welcome to jio",0
"free data claim now",1
"click here to update kyc",1
"your bank account will freeze",1
"kyc pending call now",1
"your invoice is ready",0
"your bill paid",0
"otp required to activate offer",1
"your device is compromised",1
"urgent security patch",1
"your delivery OTP is 7788",0
"your upi collect request is pending",0
"get cashback now click",1
"your order is ready for pickup",0
"package delivered",0
"pay now to avoid penalty",1
"your penalty waived click",1
"gift card waiting claim",1
"your friend joined",0
"see you soon",0
"confirm payment otp",1
"your number blocked",1
"account verification needed",1
"payment successful",0
"recharge successful",0
"hello from bank",1
"your call is important",0
"call customer care now",1
"please confirm your otp",1
"your sim blocked",1
